Aug 28 14:25:53.059 DEBG added or changed, sha1: eab1a5de, mtime: 1629355761, fname: 一つ_g.mp3
Aug 28 14:25:53.065 DEBG added or changed, sha1: bb87c040, mtime: 1629355776, fname: 源_b.mp3
Aug 28 14:25:53.069 DEBG added or changed, sha1: c46af05e, mtime: 1629355780, fname: 侵攻_b.mp3
Aug 28 14:25:53.077 DEBG added or changed, sha1: c80fa564, mtime: 1629355768, fname: 汽車_b.mp3
Aug 28 14:25:53.091 DEBG added or changed, sha1: 1d3a3773, mtime: 1629355788, fname: 藩主_b.mp3
Aug 28 14:25:53.096 DEBG added or changed, sha1: efeb7cc4, mtime: 1629355782, fname: 霊感_b.mp3
Aug 28 14:25:53.102 DEBG added or changed, sha1: bde5f0db, mtime: 1629355766, fname: 思想_b.mp3
Aug 28 14:25:53.117 DEBG added or changed, sha1: 314d92dc, mtime: 1629355787, fname: 繁昌_g.mp3
Aug 28 14:25:53.128 DEBG added or changed, sha1: 71cdaf49, mtime: 1629355767, fname: 妥協する_b.mp3
Aug 28 14:25:53.133 DEBG added or changed, sha1: 91b0fa06, mtime: 1629355763, fname: 数年_g.mp3
Aug 28 14:25:53.134 DEBG added or changed, sha1: 2e897f83, mtime: 1629355764, fname: 線_g.mp3
Aug 28 14:25:53.147 DEBG added or changed, sha1: 0b14c230, mtime: 1629355766, fname: 丈_b.mp3
Aug 28 14:25:53.162 DEBG added or changed, sha1: 4a819533, mtime: 1629355773, fname: 公益_b.mp3
Aug 28 14:25:53.175 DEBG added or changed, sha1: 47d11833, mtime: 1629355784, fname: 剛健_b.mp3
Aug 28 14:25:53.182 DEBG added or changed, sha1: 822dc118, mtime: 1629355782, fname: 呪い_b.mp3
Aug 28 14:25:53.193 DEBG added or changed, sha1: 57cf21f9, mtime: 1629355772, fname: 大衆_g.mp3
Aug 28 14:25:53.204 DEBG added or changed, sha1: 047c1369, mtime: 1629355773, fname: 版権_g.mp3
Aug 28 14:25:53.220 DEBG added or changed, sha1: 150f683d, mtime: 1629355765, fname: 湯_b.mp3
Aug 28 14:25:53.220 DEBG added or changed, sha1: ad324680, mtime: 1629355763, fname: 以外_g.mp3
Aug 28 14:25:53.228 DEBG added or changed, sha1: 2e1cf2b4, mtime: 1629355780, fname: 拳銃_g.mp3
Aug 28 14:25:53.243 DEBG added or changed, sha1: 11abc5d5, mtime: 1629355771, fname: 律動的_b.mp3
Aug 28 14:25:53.249 DEBG added or changed, sha1: 9f1ea5e0, mtime: 1629355766, fname: 望み_b.mp3
Aug 28 14:25:53.253 DEBG added or changed, sha1: bdab3770, mtime: 1629355768, fname: 残余_g.mp3
Aug 28 14:25:53.269 DEBG added or changed, sha1: c5085462, mtime: 1629355781, fname: 即日_b.mp3
Aug 28 14:25:53.283 DEBG added or changed, sha1: 93f7d3e6, mtime: 1629355761, fname: 日_b.mp3
Aug 28 14:25:53.289 DEBG added or changed, sha1: 5d87977b, mtime: 1629355784, fname: 輝き_b.mp3
Aug 28 14:25:53.304 DEBG added or changed, sha1: 0a5cd5c0, mtime: 1629355762, fname: 耳_b.mp3
Aug 28 14:25:53.312 DEBG added or changed, sha1: 2b42486f, mtime: 1629355783, fname: 迷彩_g.mp3
Aug 28 14:25:53.322 DEBG added or changed, sha1: 27bacf08, mtime: 1629355771, fname: 影_b.mp3
Aug 28 14:25:53.328 DEBG added or changed, sha1: 3520c878, mtime: 1629355784, fname: 潤う_g.mp3
Aug 28 14:25:53.344 DEBG added or changed, sha1: e11c920d, mtime: 1629355761, fname: 引く_b.mp3
Aug 28 14:25:53.349 DEBG added or changed, sha1: a01662f6, mtime: 1629355774, fname: 尋ねる_g.mp3
Aug 28 14:25:53.358 DEBG added or changed, sha1: 0e0374c4, mtime: 1629355781, fname: 封筒_b.mp3
Aug 28 14:25:53.369 DEBG added or changed, sha1: 8f12396d, mtime: 1629355765, fname: 都市_g.mp3
Aug 28 14:25:53.376 DEBG added or changed, sha1: ceca27f9, mtime: 1629355773, fname: 傘立て_g.mp3
Aug 28 14:25:53.391 DEBG added or changed, sha1: a4b6f488, mtime: 1629355768, fname: 改正_b.mp3
Aug 28 14:25:53.395 DEBG added or changed, sha1: 0a0907d8, mtime: 1629355767, fname: 阪神_b.mp3
Aug 28 14:25:53.404 DEBG added or changed, sha1: fbc71eb5, mtime: 1629355789, fname: 環礁_g.mp3
Aug 28 14:25:53.414 DEBG added or changed, sha1: 5e79168e, mtime: 1629355769, fname: 案外_b.mp3
Aug 28 14:25:53.425 DEBG added or changed, sha1: 6ff13848, mtime: 1629355763, fname: 国宝_g.mp3
Aug 28 14:25:53.434 DEBG added or changed, sha1: e63c1df6, mtime: 1629355765, fname: 仕返し_b.mp3
Aug 28 14:25:53.444 DEBG added or changed, sha1: bec48daa, mtime: 1629355778, fname: 台湾_g.mp3
